id,date,fund,category,measure,payment_amount,payments_number
1,04/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,30245.16,7
2,05/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,29950.4,10
3,07/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,10024.16,6
4,08/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,76324.96,18
5,11/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,23126.56,6
6,11/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,26000,1
7,12/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,5721.6,5
8,12/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ221 – Υδατοκαλλιέργεια,208461.4,3
9,13/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,24080.8,7
10,13/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,58730.19,1
11,13/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Πρόωρη Συνταξιοδότηση Αλιέων – block account,69984,47
12,13/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Πρόωρη Συνταξιοδότηση Αλιέων – ΠΔΕ,102690,71
13,14/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,16377.6,12
14,14/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ223 – Επενδύσεις στον τομέα της μεταποίησης και εμπορίας,59913.01,1
15,15/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,45735.93,19
16,15/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,51421.24,3
17,18/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,54917.63,13
18,18/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,188191.79,1
19,19/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,10180.58,7
20,19/01/16,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,8393.64,2
21,19/01/16,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,207241.11,5
22,20/01/16,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,107639.57,3
23,21/01/16,ΕΓΤΕ,Άμεσες Ενισχύσεις,Διεπαγγελματική Βάμβακος 2013,169.45,35
24,21/01/16,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση για Πιστοποιημένη Ελαιοκαλλιέργεια 2013,11084.47,62
25,21/01/16,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση για Σκληρό Σιτάρι 2013,16362.22,42
26,21/01/16,ΕΓΤΕ,Άμεσες Ενισχύσεις,Στρεμματική Ενίσχυση Βάμβακος 2013,38918.16,36
27,21/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Επιχειρησιακό Πρόγραμμα Φρούτων,15712.7,1
28,21/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,31026.88,3
29,22/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,39589.55,7
30,22/01/16,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Εντός Ένωσης,123422.28,1
